WKT,name,description
"POLYGON ((121.0583923 14.6547475, 121.0622976 14.654789, 121.0623191 14.6529829, 121.0650442 14.6530245, 121.0653875 14.6529414, 121.0657308 14.6527131, 121.0661385 14.6524224, 121.0664175 14.6521526, 121.0668037 14.6519034, 121.0670183 14.6517789, 121.0673402 14.6519865, 121.0676191 14.6521941, 121.0680483 14.6524017, 121.0684774 14.652464, 121.0691426 14.6525055, 121.0699794 14.6525262, 121.0707948 14.6525262, 121.0716746 14.6525677, 121.0716102 14.6538964, 121.0727689 14.6539171, 121.0729406 14.654187, 121.0731123 14.6546852, 121.0731123 14.6551835, 121.0730479 14.6556194, 121.0729191 14.6559723, 121.0727797 14.6562059, 121.0727368 14.6593769, 121.0724739 14.659434, 121.0685507 14.6593971, 121.0685829 14.657534, 121.0647902 14.6575755, 121.0632667 14.6577001, 121.0625801 14.6577053, 121.0623387 14.6576793, 121.0623119 14.6569476, 121.0623172 14.6564493, 121.0623441 14.6557435, 121.0623387 14.6549702, 121.0583798 14.654882, 121.058369 14.6550896, 121.0579828 14.6548145, 121.0583905 14.6545706, 121.0583923 14.6547475))",pantranco sm north,
"POLYGON ((121.0623191 14.6529829, 121.0638571 14.6530005, 121.0652733 14.6530005, 121.0651553 14.6528656, 121.0650158 14.6520248, 121.0650588 14.6518691, 121.0667968 14.6504886, 121.0668076 14.6503744, 121.0667325 14.6501356, 121.0660673 14.6496166, 121.0660029 14.6490353, 121.0659171 14.6487239, 121.0659493 14.6484541, 121.0659385 14.6481011, 121.0660244 14.6481011, 121.0660244 14.6482984, 121.0660029 14.6486824, 121.0660887 14.6490872, 121.0661531 14.649627, 121.0664321 14.649845, 121.0668076 14.6501356, 121.0668612 14.6503432, 121.0668397 14.650883, 121.0668076 14.6513293, 121.0670183 14.6517789, 121.0676191 14.6521941, 121.0680483 14.6524017, 121.0686744 14.6524607, 121.0685885 14.6517964, 121.0684705 14.6512982, 121.0684276 14.6507896, 121.0685134 14.6501772, 121.0686851 14.6497412, 121.0689855 14.6489523, 121.0689748 14.6486305, 121.0689641 14.6472292, 121.0701871 14.64725, 121.0710025 14.6474161, 121.0714961 14.6476859, 121.0722364 14.6481323, 121.0727621 14.6482672, 121.0738135 14.6483191, 121.0737598 14.6503432, 121.0737491 14.6504886, 121.073674 14.650582, 121.072644 14.6505508, 121.072054 14.6503744, 121.0712493 14.6504055, 121.0712493 14.6508415, 121.0712922 14.6509453, 121.0716033 14.651101, 121.0718608 14.6512878, 121.0727621 14.6519833, 121.0728372 14.6522324, 121.0728437 14.6525645, 121.0743028 14.6525749, 121.074307 14.6575365, 121.0727364 14.657526, 121.0727368 14.6593769, 121.072408 14.6594256, 121.0685507 14.6593971, 121.0685829 14.657534, 121.066593 14.6575572, 121.0647902 14.6575755, 121.0625801 14.6577053, 121.0623387 14.6576793, 121.0623119 14.6569476, 121.0623191 14.6529829))",toki day,
"POLYGON ((121.0743028 14.6525749, 121.074307 14.6575365, 121.0727364 14.657526, 121.0727368 14.6593769, 121.072408 14.6594256, 121.0685507 14.6593971, 121.0685829 14.657534, 121.0669649 14.6575533, 121.0647902 14.6575755, 121.0625801 14.6577053, 121.0623387 14.6576793, 121.0623086 14.6568683, 121.0623191 14.6529829, 121.0652733 14.6530005, 121.0651553 14.6528656, 121.0650158 14.6520248, 121.0650588 14.6518691, 121.0667968 14.6504886, 121.0668076 14.6503744, 121.0667325 14.6501356, 121.0660673 14.6496166, 121.0660029 14.6490353, 121.0659171 14.6487239, 121.0659493 14.6484541, 121.0659385 14.6481011, 121.0660244 14.6481011, 121.0660029 14.6486824, 121.0660887 14.6490872, 121.0661531 14.649627, 121.0668076 14.6501356, 121.0668513 14.6503258, 121.0668513 14.6504711, 121.0668076 14.6513293, 121.0670183 14.6517789, 121.0676191 14.6521941, 121.0680483 14.6524017, 121.0686744 14.6524607, 121.0697816 14.6525349, 121.0716746 14.6525677, 121.0728437 14.6525645, 121.0743028 14.6525749))",toki night,
"GEOMETRYCOLLECTION (POLYGON ((121.0622998 14.6549693, 121.0583798 14.654882, 121.058369 14.6550896, 121.0579828 14.6548145, 121.0583905 14.6545706, 121.0583923 14.6547475, 121.0622976 14.654789, 121.0622998 14.6549693)), POLYGON ((121.0622998 14.6549693, 121.0623387 14.6549702, 121.0623191 14.6529829, 121.0650442 14.6530245, 121.0653875 14.6529414, 121.0661385 14.6524224, 121.0664175 14.6521526, 121.0670183 14.6517789, 121.0675459 14.6521696, 121.0680483 14.6524017, 121.0686744 14.6524607, 121.0697473 14.6524919, 121.0708792 14.6525023, 121.0728437 14.6525645, 121.0743028 14.6525749, 121.074307 14.6575365, 121.0727364 14.657526, 121.0727368 14.6593769, 121.0724739 14.659434, 121.0685507 14.6593971, 121.0685829 14.657534, 121.0647902 14.6575755, 121.0625801 14.6577053, 121.0623387 14.6576793, 121.0623209 14.656664, 121.0622998 14.6549693)))",philcoa night,
"GEOMETRYCOLLECTION (POLYGON ((121.0623204 14.654968, 121.0583798 14.654882, 121.058369 14.6550896, 121.0579828 14.6548145, 121.0583905 14.6545706, 121.0583923 14.6547475, 121.0623204 14.6547916, 121.0623204 14.654968)), POLYGON ((121.0623204 14.654968, 121.0623231 14.6549681, 121.0623191 14.6529829, 121.0650442 14.6530245, 121.0653875 14.6529414, 121.0661385 14.6524224, 121.0664175 14.6521526, 121.0670183 14.6517789, 121.0675459 14.6521696, 121.0680483 14.6524017, 121.0686744 14.6524607, 121.0685885 14.6517964, 121.0684705 14.6512982, 121.0684276 14.6507896, 121.0685134 14.6501772, 121.0689855 14.6489523, 121.0689641 14.6472292, 121.0701871 14.64725, 121.0710025 14.6474161, 121.0722364 14.6481323, 121.0727621 14.6482672, 121.0738135 14.6483191, 121.0737491 14.6504886, 121.073674 14.650582, 121.072644 14.6505508, 121.072054 14.6503744, 121.0712493 14.6504055, 121.0712493 14.6508415, 121.0712922 14.6509453, 121.0716033 14.651101, 121.0727621 14.6519833, 121.0728372 14.6522324, 121.0728437 14.6525645, 121.0743028 14.6525749, 121.074307 14.6575365, 121.0727364 14.657526, 121.0727368 14.6593769, 121.0724739 14.659434, 121.0685507 14.6593971, 121.0685829 14.657534, 121.0647902 14.6575755, 121.0625801 14.6577053, 121.0623387 14.6576793, 121.0623209 14.656664, 121.0623204 14.654968)))",philcoa day,
