name,color,path
Ikot,#ffcd32,"((14.65479, 121.06232), (14.65293, 121.06232), (14.65068, 121.06236), (14.64961, 121.0623), (14.64734, 121.06234), (14.64771, 121.06386), (14.6477, 121.06428), (14.64768, 121.06464), (14.64781, 121.06538), (14.64799, 121.06599), (14.64792, 121.06641), (14.64723, 121.06789), (14.64718, 121.06897), (14.64893, 121.06897), (14.65029, 121.06848), (14.651, 121.06842), (14.65247, 121.06867), (14.65253, 121.07171), (14.6539, 121.07166), (14.65394, 121.07275), (14.65455, 121.07311), (14.65547, 121.07313), (14.65593, 121.07295), (14.65611, 121.07283), (14.65627, 121.07277), (14.65754, 121.07275), (14.65938, 121.07273), (14.65943, 121.07251), (14.6594, 121.06855), (14.65904, 121.06854), (14.65754, 121.06858), (14.65757, 121.06576), (14.65757, 121.06479), (14.65768, 121.06355), (14.65769, 121.06235), (14.65683, 121.06233), (14.65496, 121.06233), (14.65479, 121.06232))"
SM North Pantranco,#329a9a,"((14.65475, 121.05839), (14.65479, 121.0623), (14.65298, 121.06232), (14.65302, 121.06504), (14.65294, 121.06539), (14.65271, 121.06573), (14.65242, 121.06614), (14.65215, 121.06642), (14.6519, 121.0668), (14.65178, 121.06702), (14.65199, 121.06734), (14.65219, 121.06762), (14.6524, 121.06805), (14.65246, 121.06848), (14.65251, 121.06914), (14.65253, 121.06998), (14.65253, 121.07079), (14.65257, 121.07167), (14.6539, 121.07161), (14.65392, 121.07277), (14.65419, 121.07294), (14.65469, 121.07311), (14.65518, 121.07311), (14.65562, 121.07305), (14.65597, 121.07292), (14.65621, 121.07278), (14.65938, 121.07274), (14.65943, 121.07247), (14.6594, 121.06855), (14.65753, 121.06858), (14.65758, 121.06479), (14.6577, 121.06327), (14.65771, 121.06258), (14.65768, 121.06234), (14.65695, 121.06231), (14.65645, 121.06232), (14.65574, 121.06234), (14.65497, 121.06234), (14.65488, 121.05838), (14.65509, 121.05837), (14.65481, 121.05798), (14.65457, 121.05839), (14.65475, 121.05839))"
Toki Day,#f68c34,"((14.65298, 121.06232), (14.653, 121.06386), (14.653, 121.06527), (14.65287, 121.06516), (14.65202, 121.06502), (14.65187, 121.06506), (14.65049, 121.0668), (14.65037, 121.06681), (14.65014, 121.06673), (14.64962, 121.06607), (14.64904, 121.066), (14.64872, 121.06592), (14.64845, 121.06595), (14.6481, 121.06594), (14.6481, 121.06602), (14.6483, 121.06602), (14.64868, 121.066), (14.64909, 121.06609), (14.64963, 121.06615), (14.64984, 121.06643), (14.65014, 121.06681), (14.65034, 121.06686), (14.65088, 121.06684), (14.65133, 121.06681), (14.65178, 121.06702), (14.65219, 121.06762), (14.6524, 121.06805), (14.65246, 121.06867), (14.6518, 121.06859), (14.6513, 121.06847), (14.65079, 121.06843), (14.65018, 121.06851), (14.64974, 121.06869), (14.64895, 121.06899), (14.64863, 121.06897), (14.64723, 121.06896), (14.64725, 121.07019), (14.64742, 121.071), (14.64769, 121.0715), (14.64813, 121.07224), (14.64827, 121.07276), (14.64832, 121.07381), (14.65034, 121.07376), (14.65049, 121.07375), (14.65058, 121.07367), (14.65055, 121.07264), (14.65037, 121.07205), (14.65041, 121.07125), (14.65084, 121.07125), (14.65095, 121.07129), (14.6511, 121.0716), (14.65129, 121.07186), (14.65198, 121.07276), (14.65223, 121.07284), (14.65256, 121.07284), (14.65257, 121.0743), (14.65754, 121.07431), (14.65753, 121.07274), (14.65938, 121.07274), (14.65943, 121.07241), (14.6594, 121.06855), (14.65753, 121.06858), (14.65756, 121.06659), (14.65758, 121.06479), (14.65771, 121.06258), (14.65768, 121.06234), (14.65695, 121.06231), (14.65298, 121.06232))"
Toki Night,#88202c,"((14.65257, 121.0743), (14.65754, 121.07431), (14.65753, 121.07274), (14.65938, 121.07274), (14.65943, 121.07241), (14.6594, 121.06855), (14.65753, 121.06858), (14.65755, 121.06696), (14.65758, 121.06479), (14.65771, 121.06258), (14.65768, 121.06234), (14.65687, 121.06231), (14.65298, 121.06232), (14.653, 121.06527), (14.65287, 121.06516), (14.65202, 121.06502), (14.65187, 121.06506), (14.65049, 121.0668), (14.65037, 121.06681), (14.65014, 121.06673), (14.64962, 121.06607), (14.64904, 121.066), (14.64872, 121.06592), (14.64845, 121.06595), (14.6481, 121.06594), (14.6481, 121.06602), (14.64868, 121.066), (14.64909, 121.06609), (14.64963, 121.06615), (14.65014, 121.06681), (14.65033, 121.06685), (14.65047, 121.06685), (14.65133, 121.06681), (14.65178, 121.06702), (14.65219, 121.06762), (14.6524, 121.06805), (14.65246, 121.06867), (14.65253, 121.06978), (14.65257, 121.07167), (14.65256, 121.07284), (14.65257, 121.0743))"
Philcoa Day,#98cd67,"((14.65497, 121.06232), (14.65488, 121.05838), (14.65509, 121.05837), (14.65481, 121.05798), (14.65457, 121.05839), (14.65475, 121.05839), (14.65479, 121.06232), (14.65497, 121.06232), (14.65497, 121.06232), (14.65497, 121.06232), (14.65298, 121.06232), (14.65302, 121.06504), (14.65294, 121.06539), (14.65242, 121.06614), (14.65215, 121.06642), (14.65178, 121.06702), (14.65217, 121.06755), (14.6524, 121.06805), (14.65246, 121.06867), (14.6518, 121.06859), (14.6513, 121.06847), (14.65079, 121.06843), (14.65018, 121.06851), (14.64895, 121.06899), (14.64723, 121.06896), (14.64725, 121.07019), (14.64742, 121.071), (14.64813, 121.07224), (14.64827, 121.07276), (14.64832, 121.07381), (14.65049, 121.07375), (14.65058, 121.07367), (14.65055, 121.07264), (14.65037, 121.07205), (14.65041, 121.07125), (14.65084, 121.07125), (14.65095, 121.07129), (14.6511, 121.0716), (14.65198, 121.07276), (14.65223, 121.07284), (14.65256, 121.07284), (14.65257, 121.0743), (14.65754, 121.07431), (14.65753, 121.07274), (14.65938, 121.07274), (14.65943, 121.07247), (14.6594, 121.06855), (14.65753, 121.06858), (14.65758, 121.06479), (14.65771, 121.06258), (14.65768, 121.06234), (14.65666, 121.06232), (14.65497, 121.06232))"
Philcoa Night,#0f6752,"((14.65497, 121.0623), (14.65488, 121.05838), (14.65509, 121.05837), (14.65481, 121.05798), (14.65457, 121.05839), (14.65475, 121.05839), (14.65479, 121.0623), (14.65497, 121.0623), (14.65497, 121.0623), (14.65497, 121.06234), (14.65298, 121.06232), (14.65302, 121.06504), (14.65294, 121.06539), (14.65242, 121.06614), (14.65215, 121.06642), (14.65178, 121.06702), (14.65217, 121.06755), (14.6524, 121.06805), (14.65246, 121.06867), (14.65249, 121.06975), (14.6525, 121.07088), (14.65256, 121.07284), (14.65257, 121.0743), (14.65754, 121.07431), (14.65753, 121.07274), (14.65938, 121.07274), (14.65943, 121.07247), (14.6594, 121.06855), (14.65753, 121.06858), (14.65758, 121.06479), (14.65771, 121.06258), (14.65768, 121.06234), (14.65666, 121.06232), (14.65497, 121.0623))"
Katipunan Day,#e42f59,"((14.65095, 121.07451), (14.65268, 121.07447), (14.65369, 121.07453), (14.65451, 121.07459), (14.65516, 121.07462), (14.65755, 121.07455), (14.65753, 121.07274), (14.65938, 121.07274), (14.65943, 121.07247), (14.6594, 121.06855), (14.65753, 121.06858), (14.65758, 121.06479), (14.6577, 121.06317), (14.65771, 121.06258), (14.65768, 121.06234), (14.65695, 121.06231), (14.65497, 121.06234), (14.65298, 121.06232), (14.65302, 121.06504), (14.65294, 121.06539), (14.65242, 121.06614), (14.65215, 121.06642), (14.65178, 121.06702), (14.65219, 121.06762), (14.6524, 121.06805), (14.6525, 121.06885), (14.65251, 121.06914), (14.65257, 121.07167), (14.6539, 121.07161), (14.65392, 121.07277), (14.65377, 121.07278), (14.65256, 121.07284), (14.65257, 121.0743), (14.65093, 121.07432), (14.65092, 121.07394), (14.6503, 121.07444), (14.65093, 121.07488), (14.65095, 121.07451))"
Katipunan Night,#663367,"((14.65095, 121.07451), (14.65268, 121.07447), (14.65516, 121.07462), (14.65755, 121.07455), (14.65753, 121.07274), (14.65938, 121.07274), (14.65943, 121.07247), (14.6594, 121.06855), (14.65753, 121.06858), (14.65758, 121.06479), (14.6577, 121.06327), (14.65771, 121.06258), (14.65768, 121.06234), (14.65695, 121.06231), (14.65298, 121.06232), (14.65302, 121.06504), (14.65294, 121.06539), (14.65242, 121.06614), (14.65215, 121.06642), (14.65178, 121.06702), (14.65219, 121.06762), (14.6524, 121.06805), (14.6525, 121.06885), (14.65257, 121.07167), (14.65257, 121.0743), (14.65093, 121.07432), (14.65092, 121.07394), (14.6503, 121.07444), (14.65093, 121.07488), (14.65095, 121.07451))"
